,id,title,author,authoryearofbirth,avg_speed,normalized_volume,cirtuitous,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,log_N_tokens,log_downloads
1910,PG2761,"Benita, an African romance","Haggard, H. Rider (Henry Rider)",1856.0,0.081336804,0.7122544425940424,22.359934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.44680702975877,4.356708826689592
1911,PG27629,"Captain Desmond, V.C.","Diver, Maud",1867.0,0.06830857,0.790821985870907,20.445076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.893674293541295,3.80666248977032
1912,PG2762,The Brethren,"Haggard, H. Rider (Henry Rider)",1856.0,0.08006891,0.8160003919432621,31.385172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.963108966766658,4.382026634673881
1913,PG2763,The World's Desire,"Haggard, H. Rider (Henry Rider)",1856.0,0.08240148,0.7569928954919419,17.56325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.535723601246207,4.859812404361672
1914,PG27666,"Seek and Find; or, The Adventures of a Smart Boy","Optic, Oliver",1822.0,0.0886024,0.692189361014234,11.550828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.223415055461752,3.970291913552122
1915,PG27678,Nine Little Goslings,"Coolidge, Susan",1835.0,0.082187474,0.5549872795121887,13.962468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.025604756891871,4.060443010546419
1916,PG27682,The Panchronicon,"MacKaye, Harold Steele",1866.0,0.08264479,0.6956911540733351,20.572252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.506182784102837,4.127134385045092
1917,PG27690,Nobody's Girl: (En Famille),"Malot, Hector",1830.0,0.0860532,0.7198795895594777,11.206864,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.412364524015617,4.736198448394496
1918,PG27711,Germinie Lacerteux,"Goncourt, Edmond de",1822.0,0.0799335,0.702898808320395,22.36613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.402094457866482,4.691347882229144
1919,PG27712,Sir Harry Hotspur of Humblethwaite,"Trollope, Anthony",1815.0,0.0747164,0.6263436121119752,13.961611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.328281212806628,3.8918202981106265
1920,PG2771,The Island Pharisees,"Galsworthy, John",1867.0,0.07452726,0.6618109028676911,18.342735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.397267669390477,5.209486152841421
1921,PG2772,The Country House,"Galsworthy, John",1867.0,0.074117996,0.6540058883420558,20.763885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.487546116630831,5.3981627015177525
1922,PG27732,"City Crimes; Or, Life in New York and Boston","Thompson, George",1823.0,0.072437875,0.8116049147050765,49.17565,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.81466575597304,4.060443010546419
1923,PG27737,Le Petit Chose (Histoire d'un Enfant),"Daudet, Alphonse",1840.0,0.15157588,0.5856718292791361,17.58892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.103437275110156,4.983606621708336
1924,PG2773,Fraternity,"Galsworthy, John",1867.0,0.07281824,0.6855880716548803,34.44052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.691239000366645,4.804021044733257
1925,PG2775,The Good Soldier,"Ford, Ford Madox",1873.0,0.06816657,0.7081924035907222,24.652662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.383124249433804,6.56244409369372
1926,PG2776,The Four Million,"Henry, O.",1862.0,0.080564596,0.6113934213023996,17.55716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.059346214138635,6.679599185844383
1927,PG27784,Tales of the Malayan Coast: From Penang to the Philippines,"Wildman, Rounsevelle",1864.0,0.08162488,0.5736708282956935,14.115334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.024497138646275,5.081404364984463
1928,PG2778,Jewel: A Chapter in Her Life,"Burnham, Clara Louise",1854.0,0.07085514,0.7153802076403452,18.292353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.58275931606801,4.394449154672439
1929,PG27805,The Wind in the Willows,"Grahame, Kenneth",1859.0,0.081643745,0.5889928172043375,13.155339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.218245631870117,7.233455418621439
1930,PG27811,Macaria,"Evans, Augusta J. (Augusta Jane)",1835.0,0.071688764,0.7149008051457688,13.671888,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.595868577783904,4.007333185232471
1931,PG27813,Merry-Garden and Other Stories,"Quiller-Couch, Arthur",1863.0,0.07572872,0.6322203563051176,16.823471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.1759971243494,3.58351893845611
1932,PG27824,Juggernaut,"Campbell, Alice",1887.0,0.07654118,0.7654569758296277,34.70221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.814170148010977,3.258096538021482
1933,PG2785,The Elusive Pimpernel,"Orczy, Emmuska Orczy, Baroness",1865.0,0.07430059,0.7200507025777151,17.462997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.50649483270442,5.736572297479192
1934,PG27860,The Message,"Dawson, A. J. (Alec John)",1872.0,0.075456314,0.7809147050662064,15.4019165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65977527245593,4.5217885770490405
1935,PG2786,Jack and Jill,"Alcott, Louisa May",1832.0,0.08423747,0.7633636874965586,23.950037,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.630806273624454,6.2878585601617845
1936,PG27872,"A History of the French Novel, Vol. 2: To the Close of the 19th Century","Saintsbury, George",1845.0,0.09865042,0.8871037165211594,10.972025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.577822391524856,4.060443010546419
1937,PG2787,An Old-Fashioned Girl,"Alcott, Louisa May",1832.0,0.073328726,0.8255294313237371,25.008413,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.752154941270083,6.55250788703459
1938,PG27888,Making People Happy,"Buchanan, Thompson",1877.0,0.06588865,0.6273145475158826,16.52744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.102879882487954,3.8501476017100575
1939,PG2788,Little Men: Life at Plumfield With Jo's Boys,"Alcott, Louisa May",1832.0,0.08325353,0.8004060245021989,35.547638,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.76516169048771,6.376726947898627
1940,PG27903,The Magic World,"Nesbit, E. (Edith)",1858.0,0.08774399,0.680043363844218,8.047072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.231039893632255,5.198497031265826
1941,PG27906,The Voyage of the Aurora,"Collingwood, Harry",1851.0,0.083975375,0.6991219857126008,28.270155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.560686528368487,3.912023005428146
1942,PG27907,"Hunting the Skipper: The Cruise of the ""Seafowl"" Sloop","Fenn, George Manville",1831.0,0.084702514,0.8115917110511522,49.19397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.133104024069878,3.9318256327243257
1943,PG27908,Fix Bay'nets: The Regiment in the Hills,"Fenn, George Manville",1831.0,0.08110899,0.7386166970393149,40.67054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.817825946146892,3.9889840465642745
1944,PG27911,The Giraffe Hunters,"Reid, Mayne",1818.0,0.06768781,0.7348892592526064,22.218685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5741616644408,4.02535169073515
1945,PG27913,The Quadroon: Adventures in the Far West,"Reid, Mayne",1818.0,0.094175234,0.7848477790347032,28.333818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.877450516033475,4.418840607796598
1946,PG27925,The Art of Disappearing,"Smith, John Talbot",1855.0,0.07694254,0.8195659583983926,19.766727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.99987838992466,4.990432586778736
1947,PG27929,The Lady of Loyalty House: A Novel,"McCarthy, Justin H. (Justin Huntly)",1860.0,0.07222257,0.6650429946263257,8.906207,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.14772859808926,3.688879454113936
1948,PG27934,"It, and Other Stories","Morris, Gouverneur",1876.0,0.08232713,0.7587292080688871,18.931107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.527587450800874,4.5217885770490405
1949,PG27935,Under Fire: A Tale of New England Village Life,"Munsey, Frank Andrew",1854.0,0.084016696,0.5825616131339317,17.399511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.031788084906063,3.295836866004329
1950,PG27958,In Convent Walls: The Story of the Despensers,"Holt, Emily Sarah",1836.0,0.09110747,0.8156378088425786,13.277341,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.751580095104345,3.58351893845611
1951,PG2795,"Bob, Son of Battle","Ollivant, Alfred",1874.0,0.083086714,0.6879919542724414,19.18669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.466158752241444,5.43372200355424
1952,PG27966,The Dop Doctor,"Dehan, Richard",1863.0,0.08266881,0.8969235456900752,71.12682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.629531556454957,4.430816798843313
1953,PG2796,The Memoirs of Mr. Charles J. Yellowplush,"Thackeray, William Makepeace",1811.0,0.074803695,0.5740417156276113,15.168603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.197378754370144,4.418840607796598
1954,PG27980,Wood Rangers: The Trappers of Sonora,"Reid, Mayne",1818.0,0.06776915,0.8409713270335886,37.742588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.003381020475862,3.7612001156935615
1955,PG27981,The Plant Hunters: Adventures Among the Himalaya Mountains,"Reid, Mayne",1818.0,0.0820782,0.7476727062904264,16.104973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.545712061981565,3.688879454113936
1956,PG27982,The Ocean Waifs: A Story of Adventure on Land and Sea,"Reid, Mayne",1818.0,0.08712234,0.7977830703701416,51.55999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.80088249961644,4.204692619390966
1957,PG27984,Ralph Gurney's Oil Speculation,"Otis, James",1848.0,0.08075951,0.6812990251265993,13.71358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.35836303371832,3.951243718581428
1958,PG27993,Bruin: The Grand Bear Hunt,"Reid, Mayne",1818.0,0.08549415,0.7958578039334333,34.058315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.60602411022466,4.07753744390572
